Date,Open,High,Low,Close,Volume,Adj Close
1990-01-03,56.25,57.0,55.0,55.0,31616000,0.691036
1990-01-04,55.0,55.25,52.75,53.875,13587200,0.676902
1990-01-05,53.875,55.5,53.75,55.5,17523200,0.6973189999999999
1990-01-08,55.5,55.75,54.0,55.25,9971200,0.694178
1990-01-09,55.25,56.0,54.25,54.25,10982400,0.681613
1990-01-10,54.25,55.0,53.5,54.0,20742400,0.6784720000000001
1990-01-11,54.0,54.75,53.75,53.75,5683200,0.675331
1990-01-12,53.75,54.0,52.25,53.5,11552000,0.67219
1990-01-15,53.5,54.75,53.0,54.0,10707200,0.6784720000000001
1990-01-16,54.0,55.0,52.5,54.75,20320000,0.687895
1990-01-17,54.75,55.75,53.75,54.0,10739200,0.6784720000000001
1990-01-18,54.0,55.0,53.25,55.0,12044800,0.691036
1990-01-19,55.25,56.25,55.25,56.0,24678400,0.703601
1990-01-22,56.0,57.0,55.5,55.75,20480000,0.7004600000000001
1990-01-23,55.75,56.5,55.5,55.75,18406400,0.7004600000000001
1990-01-24,55.0,55.0,52.5,53.75,50169600,0.675331
1990-01-25,53.75,54.75,52.5,53.0,12537600,0.6659079999999999
1990-01-26,53.0,54.0,52.0,53.5,16678400,0.67219
1990-01-29,53.5,53.5,51.25,52.0,20492800,0.6533439999999999
1990-01-30,52.0,52.5,48.75,50.25,22764800,0.631356
1990-01-31,50.25,51.25,50.0,50.5,29702400,0.634497
1990-02-01,50.5,51.0,48.25,48.5,61824000,0.6093689999999999
1990-02-02,48.5,50.5,48.0,50.5,29811200,0.634497
1990-02-05,50.5,52.625,50.25,52.5,22592000,0.659626
1990-02-06,52.5,53.0,52.0,52.25,14105600,0.656485
1990-02-07,52.25,52.5,51.5,52.0,12966400,0.6533439999999999
1990-02-08,52.0,52.5,52.0,52.5,16793600,0.659626
1990-02-09,52.5,53.125,52.5,53.0,23468800,0.6659079999999999
1990-02-12,53.0,53.5,52.5,52.75,5977600,0.662767
1990-02-13,52.75,53.25,52.75,53.0,27046400,0.6659079999999999
1990-02-14,53.0,53.25,52.5,52.625,15481600,0.661196
1990-02-15,52.625,53.75,52.25,53.75,13984000,0.675331
1990-02-16,53.75,54.5,53.5,54.25,22918400,0.681613
1990-02-20,54.0,54.0,53.0,54.0,8217600,0.6784720000000001
1990-02-21,54.0,54.0,53.0,53.75,12902400,0.675331
1990-02-22,53.75,55.25,53.5,53.75,18828800,0.675331
1990-02-23,53.75,53.75,52.5,52.75,16460800,0.662767
1990-02-26,52.75,54.25,52.5,53.75,9401600,0.675331
1990-02-27,53.75,55.0,53.5,54.75,12614400,0.687895
1990-02-28,54.75,56.75,54.5,56.75,18496000,0.713024
1990-03-01,56.75,58.5,56.25,56.75,23750400,0.713024
1990-03-02,56.75,57.0,54.75,54.75,41433600,0.687895
1990-03-05,54.75,56.5,54.75,56.0,19372800,0.703601
1990-03-06,56.0,58.0,55.75,58.0,16921600,0.728729
1990-03-07,58.25,60.75,58.25,59.75,33292800,0.750717
1990-03-08,59.75,61.75,59.75,61.25,22668800,0.769563
1990-03-09,61.25,62.5,60.5,61.0,18822400,0.766422
1990-03-12,61.0,62.5,60.5,62.0,18124800,0.7815529999999999
1990-03-13,62.0,62.25,61.25,61.5,11705600,0.77525
1990-03-14,61.5,62.0,60.5,62.0,17004800,0.7815529999999999
1990-03-15,62.0,62.25,61.5,62.0,12633600,0.7815529999999999
1990-03-16,62.0,63.75,62.0,62.5,31084800,0.787856
1990-03-19,62.5,65.75,60.75,65.0,33491200,0.81937
1990-03-20,65.0,66.5,64.25,65.0,27488000,0.81937
1990-03-21,65.0,65.0,62.5,62.75,15814400,0.791007
1990-03-22,62.75,63.5,61.0,62.5,29248000,0.787856
1990-03-23,62.75,63.75,62.75,63.25,19264000,0.7973100000000001
1990-03-26,64.25,67.0,64.25,65.5,35974400,0.825673
1990-03-27,65.5,68.75,64.75,68.5,26784000,0.86349
1990-03-28,68.5,70.75,67.75,69.25,39987200,0.872944
1990-03-29,69.25,69.75,67.5,68.25,16838400,0.860339
1990-03-30,68.25,69.25,67.0,67.75,21254400,0.854036
